FILE, LABEL
./home/gdata/narayana/Lakshmi/Data/M09/B1_UW1/M09_B1_UW1_M8.wav, naturalization
./home/gdata/narayana/Lakshmi/Data/M09/B1_UW1/M09_B1_UW1_M3.wav, naturalization
./home/gdata/narayana/Lakshmi/Data/M09/B1_UW1/M09_B1_UW1_M4.wav, naturalization
./home/gdata/narayana/Lakshmi/Data/M09/B1_UW1/M09_B1_UW1_M2.wav, naturalization
./home/gdata/narayana/Lakshmi/Data/M09/B1_UW1/M09_B1_UW1_M5.wav, naturalization
./home/gdata/narayana/Lakshmi/Data/M09/CW40/M09_B1_CW40_M6.wav, there
./home/gdata/narayana/Lakshmi/Data/M09/CW40/M09_B1_CW40_M8.wav, there
./home/gdata/narayana/Lakshmi/Data/M09/CW40/M09_B3_CW40_M7.wav, there
./home/gdata/narayana/Lakshmi/Data/M09/CW40/M09_B2_CW40_M8.wav, there
./home/gdata/narayana/Lakshmi/Data/M09/CW40/M09_B2_CW40_M2.wav, there
./home/gdata/narayana/Lakshmi/Data/M09/CW40/M09_B1_CW40_M7.wav, there
./home/gdata/narayana/Lakshmi/Data/M09/CW40/M09_B2_CW40_M4.wav, there
./home/gdata/narayana/Lakshmi/Data/M09/CW40/M09_B1_CW40_M2.wav, there
./home/gdata/narayana/Lakshmi/Data/M09/CW40/M09_B3_CW40_M2.wav, there
./home/gdata/narayana/Lakshmi/Data/M09/CW40/M09_B1_CW40_M3.wav, there
./home/gdata/narayana/Lakshmi/Data/M09/CW40/M09_B2_CW40_M3.wav, there
./home/gdata/narayana/Lakshmi/Data/M09/CW40/M09_B2_CW40_M7.wav, there
./home/gdata/narayana/Lakshmi/Data/M09/CW40/M09_B3_CW40_M4.wav, there
./home/gdata/narayana/Lakshmi/Data/M09/CW40/M09_B3_CW40_M6.wav, there
./home/gdata/narayana/Lakshmi/Data/M09/C14/M09_B1_C14_M4.wav, Cut
./home/gdata/narayana/Lakshmi/Data/M09/C14/M09_B3_C14_M7.wav, Cut
./home/gdata/narayana/Lakshmi/Data/M09/C14/M09_B3_C14_M6.wav, Cut
./home/gdata/narayana/Lakshmi/Data/M09/C14/M09_B1_C14_M3.wav, Cut
./home/gdata/narayana/Lakshmi/Data/M09/C14/M09_B3_C14_M8.wav, Cut
./home/gdata/narayana/Lakshmi/Data/M09/C14/M09_B1_C14_M7.wav, Cut
./home/gdata/narayana/Lakshmi/Data/M09/C14/M09_B3_C14_M3.wav, Cut
./home/gdata/narayana/Lakshmi/Data/M09/C14/M09_B1_C14_M5.wav, Cut
./home/gdata/narayana/Lakshmi/Data/M09/C14/M09_B2_C14_M6.wav, Cut
./home/gdata/narayana/Lakshmi/Data/M09/C14/M09_B1_C14_M2.wav, Cut
./home/gdata/narayana/Lakshmi/Data/M09/C14/M09_B3_C14_M2.wav, Cut
./home/gdata/narayana/Lakshmi/Data/M09/C14/M09_B2_C14_M8.wav, Cut
./home/gdata/narayana/Lakshmi/Data/M09/C14/M09_B1_C14_M6.wav, Cut
./home/gdata/narayana/Lakshmi/Data/M09/C14/M09_B2_C14_M3.wav, Cut
./home/gdata/narayana/Lakshmi/Data/M09/B2_UW59/M09_B2_UW59_M8.wav, broil
./home/gdata/narayana/Lakshmi/Data/M09/B2_UW59/M09_B2_UW59_M2.wav, broil
./home/gdata/narayana/Lakshmi/Data/M09/B2_UW59/M09_B2_UW59_M5.wav, broil
./home/gdata/narayana/Lakshmi/Data/M09/B2_UW59/M09_B2_UW59_M7.wav, broil
./home/gdata/narayana/Lakshmi/Data/M09/B2_UW59/M09_B2_UW59_M6.wav, broil
./home/gdata/narayana/Lakshmi/Data/M09/B2_UW59/M09_B2_UW59_M4.wav, broil
./home/gdata/narayana/Lakshmi/Data/M09/B2_UW59/M09_B2_UW59_M3.wav, broil
./home/gdata/narayana/Lakshmi/Data/M09/CW8/M09_B2_CW8_M4.wav, you
./home/gdata/narayana/Lakshmi/Data/M09/CW8/M09_B2_CW8_M5.wav, you
./home/gdata/narayana/Lakshmi/Data/M09/CW8/M09_B2_CW8_M8.wav, you
./home/gdata/narayana/Lakshmi/Data/M09/CW8/M09_B1_CW8_M8.wav, you
./home/gdata/narayana/Lakshmi/Data/M09/CW8/M09_B1_CW8_M7.wav, you
./home/gdata/narayana/Lakshmi/Data/M09/CW8/M09_B3_CW8_M4.wav, you
./home/gdata/narayana/Lakshmi/Data/M09/CW8/M09_B1_CW8_M6.wav, you
./home/gdata/narayana/Lakshmi/Data/M09/CW8/M09_B1_CW8_M2.wav, you
./home/gdata/narayana/Lakshmi/Data/M09/CW8/M09_B3_CW8_M2.wav, you
./home/gdata/narayana/Lakshmi/Data/M09/CW8/M09_B2_CW8_M2.wav, you
./home/gdata/narayana/Lakshmi/Data/M09/CW8/M09_B1_CW8_M4.wav, you
./home/gdata/narayana/Lakshmi/Data/M09/CW8/M09_B3_CW8_M3.wav, you
./home/gdata/narayana/Lakshmi/Data/M09/CW8/M09_B3_CW8_M6.wav, you
./home/gdata/narayana/Lakshmi/Data/M09/CW8/M09_B3_CW8_M7.wav, you
./home/gdata/narayana/Lakshmi/Data/M09/CW8/M09_B2_CW8_M3.wav, you
./home/gdata/narayana/Lakshmi/Data/M09/CW8/M09_B2_CW8_M6.wav, you
./home/gdata/narayana/Lakshmi/Data/M09/C16/M09_B2_C16_M7.wav, Upward
./home/gdata/narayana/Lakshmi/Data/M09/C16/M09_B2_C16_M6.wav, Upward
./home/gdata/narayana/Lakshmi/Data/M09/C16/M09_B3_C16_M3.wav, Upward
./home/gdata/narayana/Lakshmi/Data/M09/C16/M09_B1_C16_M4.wav, Upward
./home/gdata/narayana/Lakshmi/Data/M09/C16/M09_B3_C16_M4.wav, Upward
./home/gdata/narayana/Lakshmi/Data/M09/C16/M09_B3_C16_M2.wav, Upward
./home/gdata/narayana/Lakshmi/Data/M09/C16/M09_B1_C16_M6.wav, Upward
./home/gdata/narayana/Lakshmi/Data/M09/C16/M09_B2_C16_M4.wav, Upward
./home/gdata/narayana/Lakshmi/Data/M09/C16/M09_B1_C16_M7.wav, Upward
./home/gdata/narayana/Lakshmi/Data/M09/C16/M09_B1_C16_M2.wav, Upward
./home/gdata/narayana/Lakshmi/Data/M09/C16/M09_B1_C16_M5.wav, Upward
./home/gdata/narayana/Lakshmi/Data/M09/C16/M09_B3_C16_M8.wav, Upward
./home/gdata/narayana/Lakshmi/Data/M09/C16/M09_B3_C16_M6.wav, Upward
./home/gdata/narayana/Lakshmi/Data/M09/C16/M09_B2_C16_M2.wav, Upward
./home/gdata/narayana/Lakshmi/Data/M09/C16/M09_B1_C16_M3.wav, Upward
./home/gdata/narayana/Lakshmi/Data/M09/B2_UW8/M09_B2_UW8_M3.wav, sharpshooter
./home/gdata/narayana/Lakshmi/Data/M09/B2_UW8/M09_B2_UW8_M5.wav, sharpshooter
./home/gdata/narayana/Lakshmi/Data/M09/B2_UW8/M09_B2_UW8_M4.wav, sharpshooter
./home/gdata/narayana/Lakshmi/Data/M09/LV/M09_B3_LV_M7.wav, Victor
./home/gdata/narayana/Lakshmi/Data/M09/LV/M09_B1_LV_M5.wav, Victor
./home/gdata/narayana/Lakshmi/Data/M09/LV/M09_B2_LV_M6.wav, Victor
./home/gdata/narayana/Lakshmi/Data/M09/LV/M09_B2_LV_M4.wav, Victor
./home/gdata/narayana/Lakshmi/Data/M09/LV/M09_B1_LV_M3.wav, Victor
./home/gdata/narayana/Lakshmi/Data/M09/LV/M09_B2_LV_M2.wav, Victor
